#data counter step time
0 1 3 9674
0 2 6 9702
0 3 9 9878
0 4 12 10104
0 5 15 10565
0 6 18 10678
0 7 23 10877
1 8 26 10999
1 9 28 11064
1 10 31 11349
1 11 34 11420
0 12 37 11520
1 13 45 12092
1 14 49 12262
1 15 51 12312
1 16 53 12314
1 17 56 12450
1 18 58 12451
1 19 65 12654
1 20 73 13096
1 21 76 13138
1 22 80 13426
1 23 82 13498
1 24 86 13540
1 25 88 13564
1 26 90 13601
1 27 95 13931
1 28 100 14171
1 29 104 14281
1 30 106 14324
